word,phonetic,definition_en,definition_ja,sentence_1,sentence_2,sentence_3
simple,/ˈsɪm.pəl/,Easy to understand or do.,単純な・簡単な,This is a very simple question.,She wrote a simple song.,He gave a simple answer.
social,/ˈsəʊ.ʃəl/,Relating to society or public activities.,社会の,We study social studies at school.,He has good social skills.,This is a popular social event.
like doing,/laɪk ˈduː.ɪŋ/,To enjoy performing an activity.,～するのが好きだ,I like doing sports on weekends.,She likes doing crossword puzzles.,Do you like doing your homework?
want to be,/wɒnt tuː biː/,To desire to become something.,～になりたいと思う,I want to be a teacher.,She wants to be a doctor.,Do you want to be famous?
need to do,/niːd tuː duː/,To have an obligation to perform an action.,～する必要がある,I need to do my homework now.,We need to do some shopping.,Do you need to do this today?
go home,/ɡəʊ həʊm/,To travel to the place where you live.,帰宅する,I want to go home now.,Let's go home together.,He went home after school.
get home,/ɡet həʊm/,To arrive at the place where you live.,帰宅する,What time do you get home?,I usually get home at six.,She got home safe and sound.
come home,/kʌm həʊm/,To return to your home.,帰宅する,When will she come home?,Please come home early tonight.,He came home late yesterday.
do one's homework,/duː wʌnz ˈhəʊm.wɜːk/,To complete school work assigned for home.,宿題をする,Please do your homework before dinner.,I have to do my homework now.,She always does her homework on time.
take A to B,/teɪk eɪ tuː biː/,To carry or accompany A to place B.,AをBに連れていく,I will take my dog to the park.,Please take these books to the library.,My father took us to the museum.
look for,/lʊk fɔːr/,To search for something or someone.,～を探す,What are you looking for?,I am looking for my keys.,She is looking for a new book.
leave for,/liːv fɔːr/,To depart in the direction of a destination.,～に向かって出発する,I will leave for the station soon.,We are leaving for Tokyo tomorrow.,What time do you leave for school?
have a good time,/hæv ə ɡʊd taɪm/,To enjoy oneself or have fun.,楽しい時を過ごす,Have a good time at the party!,We had a good time yesterday.,I hope you have a good time.
wait for,/weɪt fɔːr/,To remain inactive until someone or something arrives.,～を待つ,Who are you waiting for?,I am waiting for the bus.,Please wait for me.
stay in,/steɪ ɪn/,To lodge or live temporarily in a place.,（場所）に泊まる,We will stay in a beautiful hotel.,How long did you stay in London?,He stayed in his room all day.
stay with,/steɪ wɪð/,To live temporarily at someone's house.,（人）の所に泊まる,I want to stay with my uncle next summer.,She is staying with her friend this week.,They stayed with us for three days.
get up,/ɡet ʌp/,To rise from bed after sleeping.,起きる,What time do you get up?,I get up at six every morning.,Please get up now.
have a cold,/hæv ə kəʊld/,To be sick with a common cold.,風邪をひいている,I stayed home because I have a cold.,Do you have a cold?,He has a bad cold today.
take a bath,/teɪk ə bɑːθ/,To wash oneself in a tub of water.,入浴する,I like to take a bath before bed.,Did you take a bath?,He takes a warm bath every evening.
take a shower,/teɪk ə ˈʃaʊ.ər/,To wash oneself under a spray of water.,シャワーを浴びる,I take a shower in the morning.,She is taking a shower now.,It is refreshing to take a shower.
take a walk,/teɪk ə wɔːk/,To go for a stroll for pleasure or exercise.,散歩をする,Let's take a walk in the park.,I take a walk with my dog every morning.,They took a walk along the river.
go out,/ɡəʊ aʊt/,To leave one's home for a social activity.,外出する,I want to go out with my friends.,We are going out for dinner tonight.,Don't go out without your coat.
say goodbye to,/seɪ ɡʊdˈbaɪ tuː/,To express farewell to someone.,～に別れのあいさつを言う,I went to say goodbye to my friend.,Let's say goodbye to everyone.,She said goodbye to her mother.
grade,/ɡreɪd/,A level of study or score in school.,成績・学年,I got a good grade on my test.,He is in the sixth grade.,She got high grades this year.
dentist,/ˈden.tɪst/,A doctor who takes care of teeth.,歯医者,I have to see the dentist today.,The dentist checked my teeth.,My mother took me to the dentist.
physical education,/ˈfɪz.ɪ.kəl ˌed.jʊˈkeɪ.ʃən/,School class for sports and exercise.,体育,We have physical education on Monday.,Physical education is fun.,I like physical education class.
center,/ˈsen.tər/,The middle point of an area or object.,中心,The park is in the center of the city.,He put the vase in the center of the table.,We went to a shopping center.
notice,/ˈnəʊ.tɪs/,To see or become aware of something.,気づく・通知,Did you notice the flowers in the garden?,I noticed a new student in class.,There was a notice on the wall.
apartment,/əˈpɑːrt.mənt/,A set of rooms to live in inside a larger building.,アパート・マンション,We live in a small apartment.,My apartment has two bedrooms.,She moved to a new apartment.
cafeteria,/ˌkæf.ɪˈtɪə.ri.ə/,A self-service restaurant at school or work.,（セルフサービスの）食堂,We eat lunch in the cafeteria.,The cafeteria has good food.,Let's meet at the cafeteria.
goods,/ɡʊdz/,Things that are made to be sold.,物品・商品,This store sells many goods.,The goods arrived this morning.,They sell Japanese goods here.
water,/ˈwɔː.tər/,To pour water on plants.,水をやる,Please water the flowers every day.,I water the garden in the morning.,She watered the plants yesterday.
turn on,/tɜːn ɒn/,To start a machine or device.,～をつける,Please turn on the light.,He turned on the TV.,Can you turn on the computer?
turn off,/tɜːn ɒf/,To stop a machine or device.,～を消す,Don't forget to turn off the light.,She turned off her phone.,Please turn off the radio.
thanks to,/θæŋks tuː/,Because of something or someone.,～のおかげで,"Thanks to your help, I finished my homework.","Thanks to the sunny weather, we went outside.",We won the game thanks to our team.
next to,/nekst tuː/,Very close to something or someone.,～の隣に,The post office is next to the bank.,I sat next to my friend in class.,My house is next to a park.
kindly,/ˈkaɪnd.li/,In a kind or friendly way.,親切に,She kindly helped me with my homework.,He kindly showed me the way.,The old man spoke kindly to us.
model,/ˈmɒd.əl/,A small copy or example of something.,モデル・型,He made a model airplane.,This is the newest model.,She is a fashion model.
none,/nʌn/,Not any or not one.,何も～ない・誰も～ない,None of the students were late.,I wanted some cake but none was left.,None of my friends are here today.
interview,/ˈɪn.tə.vjuː/,A meeting where someone asks you questions.,面接・インタビュー,She had a job interview today.,The reporter did an interview with the singer.,I watched an interesting interview on TV.
take part in,/teɪk pɑːrt ɪn/,To join or participate in an activity.,～に参加する,I want to take part in the contest.,He took part in the school festival.,Let's take part in the race.
run,/rʌn/,To manage or operate a business.,経営する・管理する,He runs a small restaurant.,My parents run a flower shop.,She runs a cooking class.
look forward to,/lʊk ˈfɔː.wəd tuː/,To feel excited about something that will happen.,～を楽しみにする,I look forward to your letter.,She is looking forward to summer.,We look forward to seeing you.
manager,/ˈmæn.ɪ.dʒər/,A person who is in charge of a business or team.,管理職者・管理者,He is the manager of a hotel.,The manager gave us instructions.,I spoke to the store manager.
information,/ˌɪn.fəˈmeɪ.ʃən/,Facts or details about something.,情報,I need more information about this.,Where can I get information?,This website has useful information.
company,/ˈkʌm.pə.ni/,A business organization that sells goods or services.,会社,My mother works for a big company.,He started his own company.,That company makes good phones.
future,/ˈfjuː.tʃər/,The time that is to come.,将来,What do you want to be in the future?,The future is full of hope.,I will study harder in the future.
date,/deɪt/,A particular day of the month or year.,日付・日取り,What is today's date?,Please write the date here.,We set the date for the party.
job,/dʒɒb/,Work that you do regularly to earn money.,仕事,He is looking for a new job.,What is your dream job?,She has a part-time job.
bank,/bæŋk/,A place where people keep their money.,銀行,I went to the bank this morning.,The bank is near the station.,She works at a bank.
computer,/kəmˈpjuː.tər/,An electronic machine that stores and processes data.,コンピュータ,I use a computer every day.,He is good at using computers.,My computer is very old.
buy,/baɪ/,To get something by paying money.,買う,I want to buy a new bag.,She bought some flowers.,Where did you buy this?
important,/ɪmˈpɔː.tənt/,Having great value or meaning.,重要な・大切な,This test is very important.,English is an important subject.,It is important to eat breakfast.
group,/ɡruːp/,A number of people or things together.,集まり・グループ,We worked in a group of five.,He joined a music group.,The group went to the museum together.
meeting,/ˈmiː.tɪŋ/,A time when people come together to talk.,会議,We have a meeting at three.,The meeting was very long.,She is in a meeting right now.
report,/rɪˈpɔːt/,A written or spoken account of something.,報告書・レポート,I wrote a report about my trip.,The teacher read my report.,Please finish the report by Friday.
plan,/plæn/,An idea about what you will do.,計画・予定,What is your plan for the weekend?,We made a plan for the trip.,Do you have any plans tomorrow?
work,/wɜːk/,To do a job or activity.,働く・仕事をする,My father works at a hospital.,She works very hard.,I want to work in Japan.
pay,/peɪ/,To give money for something.,支払う,I will pay for the lunch.,How much did you pay?,Please pay at the counter.
clear,/klɪər/,Easy to understand or see through.,明確な・明らかな,The instructions are very clear.,The water in the lake is clear.,It was a clear sunny day.
different,/ˈdɪf.ər.ənt/,Not the same as another.,違う・異なる,My bag is different from yours.,We have different ideas.,Every country has a different culture.
believe,/bɪˈliːv/,To think that something is true.,思う・信じる,I believe he is honest.,Do you believe this story?,She believes in herself.
subject,/ˈsʌb.dʒekt/,An area of study at school.,話題・教科,What is your favorite subject?,We study many subjects at school.,Math is a difficult subject.
public,/ˈpʌb.lɪk/,Open to or shared by all people.,公共の・公立の,This is a public library.,He went to a public school.,The park is a public space.
war,/wɔːr/,A fight between countries or large groups.,戦争,War is a terrible thing.,Many people lost their homes in the war.,We should work for peace not war.
action,/ˈæk.ʃən/,Something that you do.,行為・行動,We need to take action now.,His quick action saved the child.,Actions speak louder than words.
receive,/rɪˈsiːv/,To get something that is sent or given to you.,受け取る・得る,I received a letter from my friend.,She received a nice present.,Did you receive my email?
reach,/riːtʃ/,To arrive at a place or to stretch out your hand.,到着する・届く,We reached the top of the mountain.,Can you reach that book on the shelf?,The train reached Tokyo at noon.
probably,/ˈprɒb.ə.bli/,Almost certainly or most likely.,多分・恐らく,It will probably rain tomorrow.,She is probably at home now.,He will probably come to the party.
history,/ˈhɪs.tər.i/,The study of past events.,歴史,I like studying Japanese history.,She knows a lot about world history.,History is an interesting subject.
grow,/ɡrəʊ/,To get bigger or to raise plants.,成長する・育てる,Children grow fast.,My grandmother grows tomatoes.,The tree grew very tall.
kill,/kɪl/,To cause something to die.,殺す,The cat killed the mouse.,Cold weather can kill plants.,The hero killed the monster in the story.
enjoy,/ɪnˈdʒɔɪ/,To get pleasure from something.,楽しむ,I enjoy reading books.,Did you enjoy the movie?,She enjoys playing the piano.
finally,/ˈfaɪ.nə.li/,After a long time or at the end.,ついに・最終的に,We finally arrived at the hotel.,I finally finished my homework.,She finally found her lost ring.
final,/ˈfaɪ.nəl/,Last in a series or at the end.,最後の・最終の,This is the final question.,The final day of school is Friday.,She won the final match.
prepare,/prɪˈpeər/,To make something ready.,用意する・準備する,I need to prepare for the test.,She prepared a nice dinner.,Please prepare your notebooks.
goal,/ɡəʊl/,Something you want to achieve.,目標・ゴール,My goal is to speak English well.,He scored a goal in the game.,She set a new goal for herself.
adult,/ˈæd.ʌlt/,A fully grown person.,大人・成人,This movie is for adults only.,He became an adult this year.,Adults should be kind to children.
exercise,/ˈek.sə.saɪz/,Physical activity to keep your body healthy.,運動・練習,I do exercise every morning.,Walking is good exercise.,She does exercise after school.
collect,/kəˈlekt/,To bring things together in one place.,集める,I collect stamps from many countries.,He collects old coins.,She collected shells at the beach.
strange,/streɪndʒ/,Unusual or surprising.,変わった・変な,I heard a strange noise.,That was a strange dream.,He told me a strange story.
gentleman,/ˈdʒen.tl.mən/,A polite and well-mannered man.,紳士,He is a real gentleman.,The gentleman opened the door for us.,Ladies and gentlemen!
factory,/ˈfæk.tər.i/,A building where things are made by machines.,工場,My uncle works in a car factory.,The factory makes chocolate.,We visited a toy factory.
guest,/ɡest/,A person who is invited to a place or event.,招待客・宿泊客,We have a guest for dinner tonight.,The hotel has many guests.,Please welcome our special guest.
traffic,/ˈtræf.ɪk/,The cars and vehicles on a road.,交通（量）,The traffic is very heavy today.,Be careful of the traffic.,There was a lot of traffic this morning.
expensive,/ɪkˈspen.sɪv/,Costing a lot of money.,高価な,This bag is too expensive for me.,Tokyo is an expensive city.,The restaurant was very expensive.
worry,/ˈwʌr.i/,To feel anxious or troubled about something.,心配する,Don't worry about the test.,My mother worries about me.,He is worried about his grade.
mistake,/mɪˈsteɪk/,Something that is not correct.,間違い・誤り,I made a mistake on the test.,Don't be afraid of making mistakes.,Everyone makes mistakes sometimes.
paint,/peɪnt/,To make a picture using colors.,（絵の具で）描く・塗る,She painted a beautiful picture.,I like to paint flowers.,He painted the wall blue.
poem,/ˈpəʊ.ɪm/,A piece of writing with rhythm and feeling.,（一編の）詩,She wrote a beautiful poem.,We read a poem in English class.,This poem is about nature.
lovely,/ˈlʌv.li/,Very beautiful or pleasant.,愛らしい・すてきな,What a lovely dress!,She has a lovely smile.,It was a lovely sunny day.
shut,/ʃʌt/,To close something.,閉める・閉じる,Please shut the door.,He shut his eyes and slept.,Shut the window please.
drama,/ˈdrɑː.mə/,A play or a type of story for the stage or TV.,演劇・ドラマ,We performed a drama at school.,She likes watching drama on TV.,The school drama club is fun.
favorite,/ˈfeɪ.vər.ɪt/,Liked more than all others.,お気に入りの・好きな,Blue is my favorite color.,What is your favorite food?,This is my favorite song.
exciting,/ɪkˈsaɪ.tɪŋ/,Making you feel happy and enthusiastic.,わくわくする・興奮させる,The soccer game was very exciting.,We had an exciting trip.,What exciting news!
joy,/dʒɔɪ/,A feeling of great happiness.,喜び・歓喜,Her face was full of joy.,The baby brought us great joy.,I felt joy when I passed the test.
borrow,/ˈbɒr.əʊ/,To take something and give it back later.,借りる,Can I borrow your pen?,I borrowed a book from the library.,She borrowed my umbrella.
communicate,/kəˈmjuː.nɪ.keɪt/,To share information with others.,連絡を取り合う・伝える,We communicate by email.,It is important to communicate well.,She can communicate in three languages.
volunteer,/ˌvɒl.ənˈtɪər/,A person who works without pay to help others.,ボランティア,She works as a volunteer.,Many volunteers helped after the earthquake.,I want to be a volunteer.
diary,/ˈdaɪ.ər.i/,A book where you write about your daily life.,日記,I write in my diary every night.,She keeps a diary in English.,I read my old diary yesterday.
ceremony,/ˈser.ɪ.mə.ni/,A formal event for a special occasion.,式典,We had a graduation ceremony.,The opening ceremony was beautiful.,Many people came to the ceremony.
desert,/ˈdez.ət/,A large dry area of land with very little rain.,砂漠,The Sahara is the largest desert.,It is very hot in the desert.,Few animals live in the desert.
brush,/brʌʃ/,To clean or make smooth using a brush.,ブラシをかける・磨く,I brush my teeth every morning.,She brushed her long hair.,Please brush your teeth before bed.
graduate,/ˈɡrædʒ.u.eɪt/,To finish school and receive a certificate.,卒業する,She will graduate next March.,He graduated from high school.,I want to graduate with good grades.
liberty,/ˈlɪb.ə.ti/,The freedom to live as you choose.,解放・自由,The Statue of Liberty is in New York.,Everyone should have liberty.,They fought for liberty.
uniform,/ˈjuː.nɪ.fɔːm/,Special clothes worn by members of a group.,制服,We wear a uniform to school.,Her uniform is navy blue.,He put on his school uniform.
state,/steɪt/,A part of a country or a condition.,州・国家,California is a big state.,The state of the road was bad.,There are fifty states in America.
practice,/ˈpræk.tɪs/,To do something many times to get better.,練習,I practice the piano every day.,Practice makes perfect.,He practices soccer after school.
kind,/kaɪnd/,Friendly and caring about others.,親切な・優しい,She is a very kind person.,Be kind to animals.,He gave me a kind smile.
statue,/ˈstæt.juː/,A figure of a person or animal made from stone or metal.,像,There is a big statue in the park.,We saw a famous statue.,The statue was very old.
whale,/weɪl/,A very large animal that lives in the sea.,クジラ,We saw a whale in the ocean.,Whales are the largest animals.,The whale jumped out of the water.
stadium,/ˈsteɪ.di.əm/,A large open area for sports events.,競技場・野球場,The stadium was full of people.,We watched a game at the stadium.,The new stadium is very big.
exit,/ˈek.sɪt/,A way out of a building or place.,出口,Where is the exit?,The exit is on the left.,Please use the emergency exit.
theater,/ˈθɪə.tər/,A place where you watch plays or movies.,劇場・映画館,We went to the theater last night.,The theater was very crowded.,There is a new movie at the theater.
get angry,/ɡet ˈæŋ.ɡri/,To become upset or mad.,怒る,My father got angry yesterday.,Please don't get angry with me.,She gets angry when I am late.
turn left,/tɜːn left/,To go to the left side.,左に曲がる,Turn left at the next corner.,You must turn left here.,The car turned left slowly.
turn right,/tɜːn raɪt/,To go to the right side.,右に曲がる,Turn right at the traffic light.,Can we turn right here?,Please turn right and walk straight.
go to bed,/ɡəʊ tuː bed/,To get into bed to sleep.,ベッドに入る・寝る,I usually go to bed at ten.,You should go to bed early tonight.,What time do you go to bed?
tell a lie,/tel ə laɪ/,To say something that is not true.,嘘をつく,Don't tell a lie to your parents.,He never tells a lie.,It is bad to tell a lie.
have fun,/hæv fʌn/,To enjoy yourself.,楽しむ・楽しい時間を過ごす,Let's have fun at the party!,We had fun at the beach yesterday.,I hope you have fun today.
take care of,/teɪk keər ɒv/,To look after someone or something.,～の世話をする,Please take care of my dog today.,She takes good care of her brother.,Who will take care of these plants?
win a prize,/wɪn ə praɪz/,To get an award in a competition.,受賞する・入賞する,She won a prize in the contest.,He hopes to win a prize.,Our team won a gold prize.
have,/hæv/,To own or possess something.,持っている,I have two brothers.,She has a cute dog.,Do you have a pencil?
say,/seɪ/,To speak words out loud.,言う,What did you say?,She said hello to me.,Please say it again.
go,/ɡəʊ/,To move from one place to another.,行く,Let's go to the park.,I go to school by bus.,Where are you going?
all,/ɔːl/,Every one or the whole of something.,全部の・すべての,All the students are here.,I ate all of the cake.,She knows all the answers.
get,/ɡet/,To receive or obtain something.,得る・手に入れる,I got a new book yesterday.,She got a good score on the test.,Where can I get a ticket?
see,/siː/,To use your eyes to look at something.,見える・見る,I can see the mountain from here.,Did you see the rainbow?,I want to see that movie.
well,/wel/,In a good or proper way.,良く・上手に,She speaks English very well.,He did well on the test.,I slept well last night.
make,/meɪk/,To create or produce something.,作る,Let's make a cake together.,She made a card for her mother.,I made a new friend today.
think,/θɪŋk/,To use your mind to form ideas.,思う・考える,I think this is a good idea.,What do you think about it?,She thinks carefully before speaking.
come,/kʌm/,To move toward the speaker or a place.,来る,Come here please.,She came to school early today.,Can you come to my party?
people,/ˈpiː.pəl/,Men and women in general.,人々,Many people live in this city.,Japanese people are very polite.,People were waiting for the bus.
other,/ˈʌð.ər/,Different from the one mentioned.,他の・もう一方の,I want the other one.,She talks to other students.,What other sports do you like?
give,/ɡɪv/,To let someone have something.,与える,I gave my friend a present.,She gives food to her cat.,Please give me some water.
want,/wɒnt/,To wish for or desire something.,欲しい・～したい,I want a glass of juice.,She wants to go to America.,What do you want for your birthday?
way,/weɪ/,A road or path to a place.,方向・道,Can you show me the way?,This is the way to the station.,We walked all the way home.
day,/deɪ/,A period of 24 hours.,日・日中,Today is a beautiful day.,What day is it today?,I study English every day.
thing,/θɪŋ/,An object or item.,物・事,What is that thing on the table?,I have many things to do.,The most important thing is to try.
tell,/tel/,To give information to someone by speaking.,伝える・言う・教える,Please tell me your name.,She told me a funny story.,Can you tell me the time?
find,/faɪnd/,To discover something you were looking for.,見つける,I found my lost key.,Can you find my bag?,She found a nice restaurant.
mean,/miːn/,To have a particular meaning.,意味する,What does this word mean?,I didn't mean to hurt you.,This sign means stop.
there,/ðeər/,In or at that place.,そこに・そこで,I went there yesterday.,Put the book over there.,Is anyone there?
man,/mæn/,An adult male person.,男・男性,The man is wearing a hat.,A tall man helped me.,That man is my teacher.
many,/ˈmen.i/,A large number of.,たくさんの・多数の,There are many books in the library.,How many students are in your class?,I have many friends at school.
same,/seɪm/,Not different or exactly alike.,同じ,We go to the same school.,She has the same bag as me.,We have the same birthday.
leave,/liːv/,To go away from a place.,出発する・去る,I leave home at seven.,The train leaves at nine.,She left the room quietly.
another,/əˈnʌð.ər/,One more or a different one.,もう一つの・別の,Can I have another piece of cake?,Let's try another way.,She moved to another city.
course,/kɔːs/,A set of lessons or a direction.,講座・教科,I took an English course.,Of course I will help you.,She finished the cooking course.
child,/tʃaɪld/,A young person.,子ども,The child is playing in the park.,Every child needs love.,She was a happy child.
never,/ˈnev.ər/,Not at any time.,決して～ない,I have never been to Canada.,She never eats meat.,He is never late for school.
feel,/fiːl/,To have an emotion or sensation.,感じる,I feel happy today.,She feels tired after running.,How do you feel now?
call,/kɔːl/,To telephone someone or say their name loudly.,電話する・呼ぶ,I will call you tonight.,She called my name.,Can you call a taxi for me?
own,/əʊn/,Belonging to yourself.,自分自身の,I have my own room.,She made her own lunch.,He rides his own bicycle.
great,/ɡreɪt/,Very good or wonderful.,すばらしい・とても良い,That is a great idea!,We had a great time.,She is a great teacher.
part,/pɑːt/,A piece of something larger.,一部・部分,This is the best part of the book.,He played a part in the school play.,I finished the first part.
woman,/ˈwʊm.ən/,An adult female person.,女の人・女性,The woman smiled at me.,A young woman helped us.,That woman is a doctor.
place,/pleɪs/,A particular area or position.,場所,This is a beautiful place.,What is your favorite place?,Let's find a quiet place to study.
life,/laɪf/,The time between birth and death.,生活・人生,She has a happy life.,This is the best day of my life.,Life in Tokyo is very busy.
end,/end/,The final part of something.,端・終わり,The movie has a happy end.,Walk to the end of the street.,This is the end of the lesson.
like,/laɪk/,To enjoy or be fond of something.,好き,I like music very much.,She likes cats.,Do you like swimming?
write,/raɪt/,To put words on paper or a screen.,書く,Please write your name here.,She wrote a letter to her friend.,I write in my diary every day.
move,/muːv/,To change position or go to a new place.,動かす・引っ越す,Don't move!,We moved to a new house.,He moved the desk to the corner.
world,/wɜːld/,The earth and all the people on it.,世界・地球,I want to travel around the world.,There are many languages in the world.,She is the best singer in the world.
right,/raɪt/,Correct or true.,正しい・合っている,Your answer is right.,Turn right at the corner.,Is this the right way?
become,/bɪˈkʌm/,To start to be something.,なる,She became a doctor.,He wants to become a pilot.,It became dark outside.
read,/riːd/,To look at and understand written words.,読む・読書する,I like to read books.,She reads every night.,Have you read this story?
large,/lɑːdʒ/,Big in size or amount.,大きな・多い,They live in a large house.,The school has a large library.,We need a large table.
late,/leɪt/,After the expected time.,（時間的に）遅い・遅れた,I was late for school today.,It is getting late.,Don't stay up too late.
begin,/bɪˈɡɪn/,To start doing something.,始める・始まる,The class begins at nine.,Let's begin the lesson.,It began to rain.
face,/feɪs/,The front part of your head.,顔,She has a kind face.,Wash your face every morning.,He made a funny face.
real,/rɪəl/,Actually existing or true.,本物の・実際の,Is this a real diamond?,Tell me the real reason.,It was a real surprise.
look,/lʊk/,To seem or appear.,～に見える,You look happy today.,She looks tired.,That looks delicious.
next,/nekst/,Coming immediately after.,次の・最も近い,See you next week.,The next train is at ten.,Who is the next speaker?
start,/stɑːt/,To begin doing something.,始める・始まる,School starts at eight.,Let's start cooking.,It started to snow.
show,/ʃəʊ/,To let someone see something.,見せる・示す,Show me your notebook.,She showed us her photos.,Can you show me the way?
bring,/brɪŋ/,To carry something to a place.,持ってくる・連れてくる,Please bring your textbook.,She brought her friend to the party.,Bring an umbrella tomorrow.
money,/ˈmʌn.i/,Coins and notes used to buy things.,お金,I don't have enough money.,She saved a lot of money.,How much money do you need?
night,/naɪt/,The time when it is dark outside.,夜,I study at night.,Good night!,The stars are bright at night.
question,/ˈkwes.tʃən/,Something you ask to get information.,質問・問題,Do you have any questions?,That is a good question.,I answered all the questions.
